Function,Function description,Unit test case ,Positive/Negative
"add_numbers(a, b)
   ",Addition of two numbers,"result = add_numbers(3, 5)\nassertEqual(result, 8)",Positive 
"add_numbers(a, b)
   ",Addition of two numbers,"result = add_numbers(-3, -5)\nassertEqual(result, -8)",Positive 
"add_numbers(a, b)
   ",Addition of two numbers,"result = add_numbers(5, -3)\nassertEqual(result, 2)",Positive 
"add_numbers(a, b)
   ",Addition of two numbers,"result = add_numbers(7, 0)\nassertEqual(result, 7)
",Positive 
"subtract_numbers(a, b)
",Difference of two numbers,"result = subtract_numbers(8, 3)\nassertEqual(result, 5)",Positive 
"subtract_numbers(a, b)
",Difference of two numbers,"result = subtract_numbers(-5, -2)\nassertEqual(result, -3)",Positive 
"subtract_numbers(a, b)
",Difference of two numbers,"result = subtract_numbers(7, -3)\nassertEqual(result, 10)",Positive 
"subtract_numbers(a, b)
",Difference of two numbers,"result = subtract_numbers(5, 0)\nassertEqual(result, 5)
",Positive 
"multiply_numbers(a, b)
    
",Product of two numbers,"result = multiply_numbers(3, 5)\nassertEqual(result, 15)
",Positive 
"multiply_numbers(a, b)
    
",Product of two numbers,"result = multiply_numbers(-3, -4)\nassertEqual(result, 12)",Positive 
"multiply_numbers(a, b)
    
",Product of two numbers,"result = multiply_numbers(7, -2)\nassertEqual(result, -14)
",Positive 
"multiply_numbers(a, b)
    
",Product of two numbers,"result = multiply_numbers(5, 0)\nassertEqual(result, 0)
",Positive 
"divide_numbers(a, b)
",Division of two numbers,"result = divide_numbers(10, 2)\nassertEqual(result, 5.0)",Positive 
"divide_numbers(a, b)
",Division of two numbers,"result = divide_numbers(-8, -2)\nassertEqual(result, 4.0)
",Positive 
"divide_numbers(a, b)
",Division of two numbers,"result = divide_numbers(9, -3)\nassertEqual(result, -3.0)",Positive 
"divide_numbers(a, b)
",Division of two numbers,"result = divide_numbers(5, 0)\nassertEqual(result, ""Cannot divide by zero"")
",Positive 
"find_maximum(numbers)
",Maximum of a list of numbers,"result = find_maximum([4, 9, 2, 7, 5])\nassertEqual(result, 9)",Positive 
"find_maximum(numbers)
",Maximum of a list of numbers,"result = find_maximum([-3, -8, -2, -7, -1])\nassertEqual(result, -1)",Positive 
"find_maximum(numbers)
",Maximum of a list of numbers,"result = find_maximum([-2, 5, 0, -8, 10])\nassertEqual(result, 10)",Positive 
"find_maximum(numbers)
",Maximum of a list of numbers,result = find_maximum([])\nassertIsNone(result),Positive 
"find_minimum(numbers)

",Minimum of a list of numbers,"result = find_minimum([4, 9, 2, 7, 5])\nassertEqual(result, 2)
",Positive 
"find_minimum(numbers)

",Minimum of a list of numbers,"result = find_minimum([-3, -8, -2, -7, -1])\nassertEqual(result, -8)",Positive 
"find_minimum(numbers)

",Minimum of a list of numbers,"result = find_minimum([-2, 5, 0, -8, 10])\nassertEqual(result, -8)",Positive 
"find_minimum(numbers)

",Minimum of a list of numbers,result = find_minimum([])\nassertIsNone(result),Positive 
"square_number(x)
",Square of a given number,"result = square_number(5)\nassertEqual(result, 25)",Positive 
"square_number(x)
",Square of a given number,"result = square_number(-4)\nassertEqual(result, 16)",Positive 
"square_number(x)
",Square of a given number,"result = square_number(0)\nassertEqual(result, 0)",Positive 
"square_number(x)
",Square of a given number,"result = square_number(100)\nassertEqual(result, 10000)",Positive 
"is_even(number)

",Odd and even number,result = is_even(4)\nassertTrue(result),Positive 
